MSGTIME,LONGTD,LATTD,FL,SPDX,SPDY,SPDZ
20240906104209701,104.721947,31.534882,1234,2,47,1
20240906104210263,104.721947,31.534603,1234,2,47,2
20240906104212294,104.722,31.533781,1234,2,46,1
20240906104214357,104.722061,31.532854,1234,2,47,0
20240906104214920,104.722054,31.532635,1234,2,47,0
20240906104217108,104.72216,31.531721,1234,3,47,0
20240906104218013,104.722176,31.531319,1234,3,47,0
20240906104223887,104.722862,31.528885,1234,15,43,0
20240906104224314,104.722815,31.528689,2438,223,43,8
20240906104224816,104.723053,31.528572,1234,18,43,0
20240906104225377,104.72316,31.528337,1234,18,42,0
20240906104225783,104.723267,31.528154,1242,20,41,0
20240906104227783,104.72377,31.527452,1242,21,41,0
20240906104230445,104.72377,31.527452,1242,21,0,0
20240906104231345,104.724808,31.526245,1249,26,37,1
20240906104228859,104.723899,31.52699,11094,223,41,6
20240906104238047,104.724808,31.526245,1249,26,37,1
20240906104239947,104.724808,31.526245,1249,26,37,1
20240906104244315,104.727849,31.521472,11102,223,37,7
20240906104247459,105.015276,31.554034,1692,47,37,0
20240906104247459,105.015276,31.554034,1692,47,37,0
20240906104249459,105.016286,31.554459,1691,47,37,0
20240906104249459,105.016286,31.554459,1691,47,37,0
20240906104250280,104.728249,31.522018,1242,26,37,
20240906104251459,105.017295,31.554884,1690,47,37,0
20240906104251459,105.017295,31.554884,1690,47,37,0
20240906104252281,104.728249,31.522018,1242,26,37,
20240906104306199,104.734756,31.513906,1234,28,39,0
20240906104306731,104.734871,31.513729,1234,28,38,0
20240906104315459,104.737499,31.510679,1287,50,38,3
20240906104315459,104.737499,31.510679,1287,50,38,3
20240906104317437,104.738045,31.509996,1234,28,38,0
20240906104317459,104.738101,31.509979,1287,50,38,3
20240906104317459,104.738101,31.509979,1287,50,38,3
20240906104318500,104.738373,31.509609,1234,28,38,0
20240906104321167,104.738373,31.509609,1234,28,0,0
20240906104322124,104.739449,31.508327,1234,28,39,0
20240906104322657,104.73967,31.508102,1234,28,39,0
20240906104323655,104.739937,31.507732,1234,28,39,0
20240906104324811,104.740303,31.507341,1226,29,39,0
20240906104325280,104.740471,31.507185,1226,29,39,0
20240906104326186,104.740738,31.50688,1226,29,38,0
20240906104326627,104.740845,31.506741,1226,29,38,0
20240906104328093,104.741333,31.506176,1226,30,39,1
20240906104328636,104.741508,31.505995,1226,30,39,1
20240906104329605,104.741837,31.505667,1226,30,39,0
20240906104330606,104.742165,31.505297,1226,30,39,0
20240906104331042,104.742279,31.505157,1226,30,39,0
20240906104332315,104.742688,31.504698,556,43,39,3
20240906104332699,104.74279,31.50453,1226,29,39,0
20240906104334315,104.743319,31.503963,567,44,39,0
20240906104334511,104.743378,31.503885,1226,29,39,0
20240906104335042,104.743538,31.503714,1226,28,39,0
20240906104336314,104.74394,31.503246,579,45,39,4
20240906104336314,104.74394,31.503246,579,45,39,0
20240906104336701,104.744026,31.503109,1234,28,38,2
20240906104337292,104.744186,31.502882,1234,28,38,2
20240906104338314,104.744524,31.502526,579,44,38,0
20240906104338450,104.74453,31.502502,1234,28,38,1
20240906104338314,104.744524,31.502526,579,44,38,0
20240906104338450,104.74453,31.502502,1234,28,38,1
20240906104339949,104.744995,31.501965,1234,28,38,0
20240906104340314,104.745113,31.501829,590,45,38,0
20240906104340314,104.745113,31.501829,590,45,38,0
20240906104340480,104.745163,31.501783,1234,28,38,0
20240906104342654,104.745796,31.501059,1234,28,38,0
20240906104342859,104.745866,31.500959,601,45,38,0
20240906104344841,104.746452,31.500227,1234,28,38,0
20240906104344859,104.746467,31.500243,605,45,38,0
20240906104344859,104.746467,31.500243,605,45,38,0
20240906104345812,104.746727,31.499943,1234,27,38,0
20240906104347842,104.74733,31.499247,1234,27,38,0
20240906104348719,104.747581,31.498898,1234,27,38,0
20240906104349310,104.747742,31.498714,1234,27,38,0
20240906104350405,104.748047,31.498312,1242,27,38,0
20240906104350843,104.748154,31.498173,1242,27,38,0
20240906104350860,104.748185,31.498164,624,45,38,2
20240906104351247,104.748322,31.498034,1242,27,38,0
20240906104351686,104.748444,31.497845,1242,27,38,0
20240906104352656,104.748711,31.497524,1234,27,38,0
20240906104352859,104.748765,31.497462,628,47,38,1
20240906104353717,104.749031,31.497158,1234,27,38,0
20240906104354186,104.749146,31.497009,1234,27,38,0
20240906104354859,104.74934,31.496769,632,47,38,0
20240906104355123,104.749413,31.496655,1234,27,38,0
20240906104355623,104.749527,31.4965,1234,27,38,0
20240906104356186,104.749748,31.496264,1234,27,38,0
20240906104356667,104.74984,31.496107,1234,27,38,0
20240906104357542,104.750114,31.495834,1234,26,39,0
20240906104358074,104.750275,31.495604,1234,26,39,0
20240906104358314,104.75034,31.495535,632,47,39,0
20240906104359105,104.750549,31.495239,1234,26,39,0
20240906104359604,104.750679,31.495056,1234,26,39,0
20240906104400698,104.750977,31.494642,1234,26,39,0
20240906104401168,104.751122,31.494493,1234,26,39,0
20240906104402314,104.75145,31.494089,624,45,39,0
20240906104404760,104.752106,31.493147,1226,25,40,0
20240906104405262,104.752213,31.492949,1226,25,40,0
20240906104409841,104.753426,31.491238,1226,25,41,0
20240906104410860,104.753739,31.490882,624,30,41,0
20240906104411810,104.753922,31.490492,1226,25,41,0
20240906104412249,104.754036,31.490351,1226,24,41,0
20240906104413715,104.754364,31.489788,1234,23,41,1
20240906104414686,104.754639,31.489424,1234,23,40,1
20240906104417298,106.901344,32.804661,11308,94,228,0
20240906104417720,104.755333,31.488323,1234,23,40,0
20240906104418688,104.755608,31.487959,1242,23,40,0
20240906104418859,104.755673,31.48789,632,15,40,0
20240906104421309,104.755608,31.487959,1242,23,1,0
20240906104423460,104.756797,31.486186,1246,23,40,0
20240906104423460,104.756797,31.486186,1246,23,40,0
20240906104424029,104.756889,31.485973,1234,23,40,0
20240906104423460,104.756797,31.486186,960,204,40,0
20240906104424637,104.75705,31.485744,1234,23,40,0
20240906104427290,104.75705,31.485744,1234,23,40,0
20240906104429294,104.75705,31.485744,1234,23,40,0
20240906104430914,105.418266,30.373287,396,7,40,0
20240906104430914,105.418266,30.373287,396,7,40,0
20240906104432915,105.418266,30.373287,396,7,40,0
20240906104432915,105.418266,30.373287,396,7,40,0
20240906104434914,105.418266,30.373287,396,7,40,0
20240906104434914,105.418266,30.373287,396,7,40,0
20240906104435296,104.75705,31.485744,1234,23,40,0
20240906104436914,105.418266,30.373287,396,7,40,0
20240906104436914,105.418266,30.373287,396,7,40,0
20240906104440261,104.760933,31.479811,1226,22,41,0
20240906104440854,104.761009,31.479595,1234,22,41,1
20240906104443353,104.761642,31.478668,1234,22,40,2
20240906104447459,104.76263,31.477123,1244,22,40,2
20240906104447459,104.76263,31.477123,1244,22,40,2
20240906104449058,104.763039,31.476559,1234,22,40,2
20240906104449459,104.76311,31.476378,1249,22,40,2
20240906104449459,104.76311,31.476378,1249,22,40,2
20240906104450997,104.763481,31.47583,1234,23,40,0
20240906104451560,104.763649,31.475643,1234,23,40,0
20240906104449058,104.763039,31.476559,1234,22,40,2
20240906104449459,104.76311,31.476378,1249,22,40,2
20240906104449459,104.76311,31.476378,1249,22,40,2
20240906104450997,104.763481,31.47583,1234,23,40,0
20240906104451560,104.763649,31.475643,1234,23,40,0
20240906104453135,104.764008,31.475046,1234,23,40,0
20240906104453698,104.764168,31.474821,1234,23,41,0
20240906104454791,104.764412,31.47443,1234,23,41,0
20240906104456822,104.764908,31.473684,1234,23,41,0
20240906104457635,104.765076,31.473362,1234,23,41,0
20240906104458104,104.765244,31.473175,1234,23,42,0
20240906104459167,104.765511,31.472755,1234,23,41,0
20240906104459698,104.765625,31.47258,1234,23,41,0
20240906104500315,104.765787,31.472335,2857,23,41,0
20240906104502384,104.766281,31.471544,1234,23,41,0
20240906104505509,104.767082,31.470379,1234,24,41,0
20240906104506314,104.767285,31.47007,2857,24,41,1
20240906104507541,104.767563,31.469603,1234,23,42,0
20240906104507948,104.767715,31.469404,1234,22,42,0
20240906104508314,104.767799,31.469292,2857,24,42,0
20240906104508448,104.767769,31.469265,1234,22,42,0
20240906104509011,104.767929,31.469034,1234,22,42,0
20240906104509603,104.768036,31.468798,1226,21,43,0
20240906104510103,104.76815,31.468594,1226,21,43,0
20240906104507948,104.767715,31.469404,1234,22,42,0
20240906104508314,104.767799,31.469292,2857,24,42,0
20240906104508448,104.767769,31.469265,1234,22,42,0
20240906104509011,104.767929,31.469034,1234,22,42,0
20240906104509603,104.768036,31.468798,1226,21,43,0
20240906104510103,104.76815,31.468594,1226,21,43,0
20240906104512479,104.768585,31.46759,1226,19,44,0
20240906104512859,104.768742,31.467466,1225,19,44,0
20240906104512859,104.768742,31.467466,1225,19,44,0
20240906104513027,104.768646,31.467354,1234,15,46,0
20240906104513558,104.768753,31.467123,1234,13,46,0
20240906104514089,104.768799,31.466904,1234,12,46,0
20240906104516769,104.768799,31.466904,1234,12,0,0
20240906104517309,104.769066,31.46553,1234,8,47,1
20240906104518214,104.769142,31.465122,1234,5,47,0
20240906104520590,104.769142,31.464098,1242,0,48,0
20240906104521026,104.769142,31.463911,1234,0,48,0
20240906104521433,104.769142,31.463722,1234,0,48,0
20240906104521903,104.769119,31.463512,1234,1,48,1
20240906104523528,104.769066,31.462784,1234,1,49,1
20240906104524029,104.769089,31.462559,1234,1,49,1
20240906104524591,104.769089,31.46228,1234,0,49,0
20240906104525059,104.769119,31.462097,1234,1,49,0
20240906104526871,104.769226,31.461271,1234,5,48,0
20240906104527371,104.769249,31.461073,1234,6,47,0
20240906104527745,104.769302,31.460884,1234,7,48,0
20240906104528340,104.769341,31.460676,1234,8,47,0
20240906104529934,104.769524,31.459951,1234,9,47,0
20240906104530933,104.769684,31.459534,1234,11,46,0
20240906104531497,104.769714,31.459303,1234,13,46,0
20240906104531964,104.769798,31.459114,1234,13,46,0
20240906104532432,104.769905,31.458927,1234,14,45,0
20240906104532862,104.769843,31.458709,2857,23,45,1
20240906104532966,104.769958,31.458696,1234,15,45,0
20240906104533499,104.770096,31.458477,1234,16,45,0
20240906104534026,104.77018,31.458279,1234,16,44,0
20240906104536651,104.770683,31.457193,1234,19,43,0
20240906104537183,104.770782,31.457022,1234,19,44,0
20240906104537620,104.770897,31.456835,1234,20,43,0
20240906104538089,104.771004,31.456646,1234,20,43,0
20240906104538527,104.771057,31.456507,1234,20,43,0
20240906104539122,104.771225,31.456282,1234,20,43,0
20240906104539652,104.771332,31.456009,1234,20,43,0
20240906104540057,104.771439,31.45587,1234,20,43,0
20240906104541526,104.771759,31.455322,1234,21,43,0
20240906104541964,104.771889,31.455112,1234,21,43,0
20240906104542466,104.771973,31.454908,1234,22,42,1
20240906104544432,104.772491,31.454227,1226,24,41,1
20240906104544934,104.772629,31.454041,1226,26,40,0
20240906104545870,104.772949,31.453671,1226,26,40,0
20240906104546401,104.773094,31.453482,1226,28,38,0
